,Director,Actor_list
4989,James Bridges,John Travolta
4990,Henri-Georges Clouzot,Bing Crosby
4991,Amy Heckerling,Chuck Norris
4992,Leo McCarey,Spencer Tracy
4993,Menahem Golan,Groucho Marx
4994,George Cukor,Kevin Bacon
4995,Victor Heerman,Peter Cook
4996,Ken KwapisMarisa Silver,Simone Simon
4997,Stanley Donen,Richard Harris
4998,Jacques Tourneur,Steve Martin
4999,Joshua Logan,Michael York
5000,Arthur Hiller,Goldie Hawn
5001,Richard Lester,Lana Turner
5002,Herbert Ross,John Goodman
5003,Tay Garnett,Lise Delamare
5004,Joe Dante,Ethan Hawke
5005,Jérôme Boivin,Nu Yên-Khê Tran
5006,Joe Dante,Jean-Paul Belmondo
5007,Anh Hung Tran,Mireille Darc
5008,Jean-Luc Godard,Jack Lemmon
5009,Jean-Luc Godard,Nikolay Cherkasov
5010,Mick Jackson,Todd Armstrong
5011,Sergei M. EisensteinDmitriy Vasilev,Alec Guinness
5012,Don Chaffey,Toshirô Mifune
5013,Alec GuinnessMichael JaystonAnthony Bate,Luigi Lo Cascio
5014,Akira Kurosawa,Katharine Hepburn
5015,Marco Tullio Giordana,Tom Cavanagh
5016,Vincente Minnelli,Harry Dean Stanton
5017,Guy Ferland,Tom Berenger
5018,Michael Almereyda,Richard Feynman
5019,Luis Llosa,Maryam Karimi
5020,Roko Belic,Warren Beatty
5021,Youssef Chahine(segment Egypt)Amos Gitai(segment Israel)Shohei Imamura(segment Japan),Michael Beck
5022,Alan J. Pakula,Bruce Boxleitner
5023,Walter Hill,Jerry Doyle
5024,Michael Vejar,Bruce Boxleitner
5025,Janet Greek,David Byrne
5026,Jesús Salvador Treviño,Max von Sydow
5027,David Byrne,Clark Gable
5028,Ingmar Bergman,Danny Kaye
5029,John Ford,William Powell
5030,Norman Z. McLeod,William Powell
5031,W.S. Van Dyke,William Powell
5032,Richard Thorpe,William Powell
5033,W.S. Van Dyke,William Powell
5034,W.S. Van Dyke,William Powell
5035,Edward Buzzell,Cary Grant
5036,Jack Conway,Alec Newman
5037,George Stevens,William Hurt
5038,Alec NewmanJulie CoxIan McNeice,Lucas Gregorowicz
5039,William HurtAlec NewmanGiancarlo Giannini,Jet Li
5040,Christian Zübert,Fred Ward
5041,Corey Yuen,Michael Gross
5042,S.S. Wilson,Lorene Machado
5043,Brent Maddock,André Morell
5044,Lorene Machado,Frances Dee
5045,John Gilling,Don McKellar
5046,Jacques Tourneur,Robert Morse
5047,Bruce McDonald,James Coburn
5048,David Swift,Vincent Price
5049,Sam Peckinpah,Rod Steiger
5050,Ubaldo Ragona(Italian prints)Sidney Salkow(U.S. prints),Warren Oates
5051,Sergio Leone,Joel McCrea
5052,Sam Peckinpah,Jimmy Wang Yu
5053,Sam Peckinpah,Peter Cushing
5054,Jimmy Wang Yu,Sandra Dee
5055,Terence Fisher,Liz Renay
5056,Paul Wendkos,Toshirô Mifune
5057,John Waters,Toshirô Mifune
5058,Akira Kurosawa,Toshirô Mifune
5059,Akira Kurosawa,Brandon Quintin Adams
5060,Akira Kurosawa,N/A
5061,Wes Craven,Woody Allen
5062,Marc Singer,Liv Ullmann
5063,N/A,Ingrid Thulin
5064,Woody Allen,Ingrid Thulin
5065,Ingmar Bergman,Harriet Andersson
5066,Ingmar Bergman,Max von Sydow
5067,Ingmar Bergman,Burt Lancaster
5068,Ingmar Bergman,Richard Burton
5069,Ingmar Bergman,Craig Sheffer
5070,Robert Siodmak,Adam Chubbuck
5071,John Huston,Otis Redding
5072,Clive Barker,Sean Connery
5073,Larry ClarkEdward Lachman,Andy Lau
5074,D.A. Pennebaker,Lim Soo-jung
5075,Richard Attenborough,Woody Allen
5076,Andrew LauAlan Mak,Jeffrey Combs
5077,Jee-woon Kim,Gary Graham
5078,Woody Allen,Ian Patrick Williams
5079,Stuart Gordon,Tim Loane
5080,Stuart Gordon,David Carradine
5081,Stuart Gordon,Dick Miller
5082,Stuart Gordon,Gene Kelly
5083,Paul Bartel,Stephen Dorff
5084,Roger Corman,Lili Taylor
5085,Vincente Minnelli,Takeshi Kitano
5086,John G. Avildsen,Kim Ki-duk
5087,Sam GreenBill Siegel,Butch Patrick
5088,Takeshi Kitano,Steve McQueen
5089,Kim Ki-duk,Hitomi Kuroki
5090,Chuck JonesAbe LevitowDave Monahan(live action sequences),River Phoenix
5091,Sam Peckinpah,Vladimir Mashkov
5092,Hideo Nakata,Audrey Hepburn
5093,Peter Bogdanovich,Asia Argento
5094,Pavel Chukhray,Robert De Niro
5095,William Wyler,Danny DeVito
5096,Dario Argento,Paul Muni
5097,Martin Scorsese,Anthony Barrile
5098,Marshall Herskovitz,Paul Newman
5099,Mervyn LeRoy,John Hurt
5100,John Irvin,Han Suk-kyu
5101,Richard Brooks,Spencer Tracy
5102,Roger Corman,Kim Bodnia
5103,Je-kyu Kang,Chuck Norris
5104,John Sturges,Ralph Macchio
5105,Lasse Spang Olsen,David Boutin
5106,Aaron Norris,George O'Brien
5107,Walter Hill,Peter Breck
5108,Jean-François Pouliot,Gaspard Manesse
5109,F.W. Murnau,Frank Whaley
5110,Samuel Fuller,James Marshall
5111,Louis Malle,Lon Chaney Jr.
5112,John Putch,Susan Cabot
5113,Rowdy Herrington,Ken Clark
5114,Jack Pollexfen,Shô Aikawa
5115,Roger Corman,Martine Carol
5116,Bernard L. Kowalski,Cliff Robertson
5117,Takashi Miike,Kirk Douglas
5118,Max Ophüls,Marcello Mastroianni
5119,Ralph Nelson,Michael Dobson
5120,Vincente MinnelliGeorge Cukor(uncredited),Jason Patric
5121,Federico Fellini,Errol Flynn
5122,Hiroyuki Okiura,Hume Cronyn
5123,Lili Fini Zanuck,Michael Caine
5124,Michael Curtiz,Kinuyo Tanaka
5125,Matthew Robbins,Catherine Demongeot
5126,Lewis Gilbert,James Garner
5127,Kenji Mizoguchi,Richard Burton
5128,Louis Malle,Gabriele Ferzetti
5129,Arthur Hiller,Dolly Read
5130,Charles Jarrott,Emmanuelle Riva
5131,Michelangelo Antonioni,Masayuki Mori
5132,Russ Meyer,Edward Fox
5133,Alain Resnais,Tony Todd
5134,Kenji Mizoguchi,Bebe Daniels
5135,Fred Zinnemann,William Powell
5136,Tom Savini,Harold Lloyd
5137,Roy Del Ruth,Dana Andrews
5138,W.S. Van Dyke,Elliott Gould
5139,Fred C. NewmeyerSam Taylor,Silvia Pinal
5140,Fritz Lang,Patrick Stewart
5141,Alan Arkin,Yasuo Yamada
5142,Luis Buñuel,Johnny Depp
5143,Roger Christian,Shelley Duvall
5144,Hayao Miyazaki,Edith Bouvier Beale
5145,Emir Kusturica,Prince
5146,Robert Altman,Bridget Fonda
5147,Ellen HovdeAlbert MayslesDavid Maysles,Jean Rochefort
5148,Albert Magnoli,Buster Keaton
5149,John Badham,Joe Don Baker
5150,Patrice Leconte,Shirley MacLaine
5151,James W. HorneBuster Keaton(uncredited),Adolphe Menjou
5152,Andrew V. McLaglen,Miho Kanno
5153,Beeban Kidron,Bette Davis
5154,Lewis Milestone,Victor Moore
5155,Takeshi Kitano,Ginger Rogers
5156,William Keighley,Humphrey Bogart
5157,Leo McCarey,Deborah Kerr
5158,Billy Wilder,Clint Eastwood
5159,Edward Dmytryk,Robert Newton
5160,Michael PowellEmeric Pressburger,Mike Myers
5161,Don Siegel,Dennis Quaid
5162,David Lean,Kate Hudson
5163,Andrew AdamsonKelly AsburyConrad Vernon,Dwayne Adway
5164,Roland Emmerich,Mario Van Peebles
5165,Garry Marshall,Jena Malone
5166,Jessy Terrero,Daniel Radcliffe
5167,Mario Van Peebles,Val Kilmer
5168,Brian Dannelly,Takeshi Kitano
5169,Alfonso Cuarón,Vin Diesel
5170,Renny Harlin,Breckin Meyer
5171,Takeshi Kitano,Nicole Kidman
5172,David Twohy,Morgan Freeman
5173,Peter Hewitt,Jon Heder
5174,Frank Oz,William Hurt
5175,Nickolas PerryHarry Thomason,Albert Finney
5176,Jared Hess,Patrick Swayze
5177,Randa Haines,Shelley Long
5178,Peter Yates,Colin Firth
5179,Darrell Roodt,Rock Hudson
5180,Frank Perry,G.W. Bailey
5181,Mark Herman,Jan-Michael Vincent
5182,Delbert Mann,Chris Young
5183,Alan Metter,Max von Sydow
5184,John Milius,Frank Sinatra
5185,Robert Shaye,Norma Shearer
5186,Ingmar Bergman,Ed Begley Jr.
5187,Lewis Allen,Kôji Moritsugu
5188,Robert Z. Leonard(uncredited),Harvey Korman
5189,Michael Lehmann,John Wayne
5190,"Atsuko Fukushima(segments Coming Soon, See You Again)Hiroyuki Kitakubo(segment Tale of Two Robots, A)Hiroyuki Kitazume(segment Starlight Angel)",Jeff Morrow
5191,Neal Israel,Fredric March
5192,Allan Dwan,Glenn Ford
5193,Joseph M. NewmanJack Arnold(uncredited),Chulpan Khamatova
5194,Mervyn LeRoyMichael Curtiz(uncredited),Gian Maria Volontè
5195,Richard Brooks,Olivia de Havilland
5196,Bakhtyar Khudojnazarov,Olivia de Havilland
5197,Elio Petri,Katharine Hepburn
5198,Mitchell Leisen,William Holden
5199,William Wyler,Jane Wyman
5200,Harold S. BucquetJack Conway,Morgan Spurlock
5201,Robert Wise,Robert Taylor
5202,Jean Negulesco,Étienne Becker
5203,Morgan Spurlock,Spencer Tracy
5204,Mervyn LeRoy,George Sanders
5205,Chris Marker,Tatsuya Nakadai
5206,King VidorJack Conway(uncredited)W.S. Van Dyke(background shots),Doris Day
5207,Albert Lewin,James Cagney
5208,Masaki Kobayashi,Alastair Sim
5209,Charles Walters,Matthew Modine
5210,Raoul Walsh,Steve McQueen
5211,Brian Desmond Hurst,Willem Dafoe
5212,Michael Caton-Jones,Masaaki Daimon
5213,Norman Jewison,Rutger Hauer
5214,Steve Buscemi,Kathryn Grayson
5215,Jun Fukuda,John Turturro
5216,Robert Harmon,Wallace Ford
5217,George Sidney,Charles Chaplin
5218,Nicolas Winding Refn,Mel Brooks
5219,Tod Browning,Greta Garbo
5220,Charles Chaplin,Fredric March
5221,Mel Brooks,Jackie Chan
5222,Clarence Brown,Ben Stiller
5223,Rouben Mamoulian,Tom Hanks
5224,Frank Coraci,Emily Mortimer
5225,Rawson Marshall Thurber,Marlon Wayans
5226,Steven Spielberg,Jeff Bridges
5227,Shona Auerbach,Gena Rowlands
5228,Keenen Ivory Wayans,Guy Pearce
5229,Tod Williams,Kevin Kline
5230,Nick Cassavetes,Groucho Marx
5231,Jean-Jacques Annaud,Natalie Wood
5232,Irwin Winkler,Tim Conner
5233,Sam Wood,Audrey Tautou
5234,Paul Mazursky,Fidel Castro
5235,Will Vinton,Felicity Mason
5236,Laurent Firode,Bernadette Peters
5237,Oliver Stone,Anthony Michael Hall
5238,Michael SpierigPeter Spierig,Noam Chomsky
5239,James Lapine,Rodney Bingenheimer
5240,Martyn Burke,Heather Graham
5241,Mark AchbarPeter Wintonick,Michael Paré
5242,George Hickenlooper,Omar Epps
5243,Kaige Chen,Peter Sellers
5244,Stewart Raffill,James Cagney
5245,Ernest R. Dickerson,Jean Dasté
5246,Blake Edwards,Samy Naceri
5247,Michael Curtiz,Samy Naceri
5248,Jean Vigo,Tôru Emori
5249,Gérard Pirès,Buster Keaton
5250,Gérard Krawczyk,Steve Martin
5251,Satoshi Kon,Loretta Young
5252,John G. BlystoneBuster Keaton,Goldie Hawn
5253,Carl Reiner,Elizabeth Taylor
5254,H.C. Potter,Silvia Pinal
5255,Garry Marshall,Michael Moore
5256,Daniel Mann,Steve Martin
5257,Luis Buñuel,Christopher Lee
5258,Michael Moore,Charlotte Brittain
5259,Fred Schepisi,Lance Guest
5260,Freddie Francis,Tobey Maguire
5261,Imogen Kimmel,Ethan Hawke
5262,Nick Castle,Clive Owen
5263,Sam Raimi,Will Ferrell
5264,Richard Linklater,Hilary Duff
5265,Antoine Fuqua,Will Smith
5266,Adam McKay,Catalina Sandino Moreno
5267,Mark Rosman,Katharine Hepburn
5268,Alex Proyas,Miroslaw Baka
5269,Joshua Marston,Matt Damon
5270,Sidney Lumet,Halle Berry
5271,Krzysztof Kieslowski,Colin Farrell
5272,Paul Greengrass,Rudolf Klein-Rogge
5273,Pitof,Buster Crabbe
5274,Michael Mayer,François Leterrier
5275,Fritz Lang,Rafael Rivelles
5276,Ford BeebeRay Taylor,Michael Sacks
5277,Robert Bresson,Cary Grant
5278,Ladislao Vajda,Cary Grant
5279,George Roy Hill,Irene Dunne
5280,Irving Reis,Tami Erin
5281,H.C. Potter,Cary Grant
5282,Garson Kanin,Olivia de Havilland
5283,Ken Annakin,Joe Pesci
5284,Michael Curtiz,Burt Lancaster
5285,Anatole Litvak,Donald Sutherland
5286,Rod Daniel,Robert Carlyle
5287,Luchino Visconti,Anna Karina
5288,John Schlesinger,Neil Dickson
5289,David L. Cunningham,Sophia Loren
5290,Jean-Luc Godard,Peter Coyote
5291,John Hough,Maggie Smith
5292,Vittorio De Sica,Raffaele Donato
5293,Richard Ray PerezJoan Sekler,Alan Ladd
5294,Ronald Neame,Basil Rathbone
5295,Martin Scorsese,Richard Burton
5296,Frank Tuttle,Basil Rathbone
5297,Roy William Neill,Basil Rathbone
5298,Martin Ritt,Basil Rathbone
5299,Roy William Neill,Denzel Washington
5300,Roy William Neill,Bill Paxton
5301,Roy William Neill,Sigourney Weaver
5302,Jonathan Demme,Zach Braff
5303,Jonathan Frakes,Jung Woo-sung
5304,M. Night Shyamalan,Zero Mostel
5305,Zach Braff,Tom Cruise
5306,Sung-su Kim,Brittany Murphy
5307,Richard Lester,Tim Robbins
5308,Michael Mann,Isabelle Huppert
5309,Nick Hurran,John Cho
5310,Michael Winterbottom,Anne Hathaway
5311,Claude Chabrol,Rhys Ifans
5312,Danny Leiner,Sanaa Lathan
5313,Garry Marshall,Mark Ruffalo
5314,Jeff Balsmeyer,Matthew Lillard
5315,Paul W.S. Anderson,Stellan Skarsgård
5316,John Curran,Bill Cosby
5317,Steven Brill,Morris Chestnut
5318,Renny Harlin,Aaron Eckhart
5319,Bill Cosby,Wen Jiang
5320,Dwight H. Little,Reese Witherspoon
5321,E. Elias Merhige,Cole Hauser
5322,Ping He,Josh Hartnett
5323,Mira Nair,Ellen Burstyn
5324,Paul Abascal,Harvey Keitel
5325,Paul McGuigan,Jerzy Stuhr
5326,Martin Scorsese,Alberto Sordi
5327,Martin Scorsese,Kim Basinger
5328,Krzysztof Kieslowski,Milla Jovovich
5329,Federico Fellini,Bernie Mac
5330,David R. Ellis,Gwyneth Paltrow
5331,Alexander Witt,Kirsten Dunst
5332,Charles Stone III,Katie Holmes
5333,Kerry Conran,Julianne Moore
5334,Richard Loncraine,Gael García Bernal
5335,Forest Whitaker,Simon Pegg
5336,Joseph Ruben,Burt Lancaster
5337,Walter Salles,Albert Finney
5338,Edgar Wright,Cher
5339,Daniel Mann,Richard Harris
5340,Sidney Lumet,Gérard Depardieu
5341,Peter Bogdanovich,Robert Kerman
5342,Michael Anderson,Will Smith
5343,Ridley Scott,Joaquin Phoenix
5344,Ruggero Deodato,Jason Schwartzman
5345,Bibo BergeronVicky JensonRob Letterman,Hilary Duff
5346,Jay Russell,Queen Latifah
5347,David O. Russell,Shane Carruth
5348,Sean McNamara,Billy Crudup
5349,Tim Story,Richard Gere
5350,Shane Carruth,Trey Parker
5351,Richard Eyre,Ray Romano
5352,Peter Chelsom,Laura Linney
5353,Trey Parker,Bing Crosby
5354,Michael Clancy,Anna Magnani
5355,Dylan Kidd,Jack MacGowran
5356,George Seaton,Dominique Michel
5357,Daniel Mann,Faizon Love
5358,Roman Polanski,Billy Bob Thornton
5359,Denys Arcand,Jonathan Caouette
5360,Bruce W. Smith,Robin Williams
5361,Peter Berg,Annette Bening
5362,Jonathan Caouette,Ben Affleck
5363,Omar Naim,Sarah Michelle Gellar
5364,István Szabó,Jude Law
5365,Mike Mitchell,Paul Giamatti
5366,Takashi Shimizu,Christian Bale
5367,Charles Shyer,Imelda Staunton
5368,Alexander Payne,Miranda Richardson
5369,Brad Anderson,Clarence 'Gatemouth' Brown
5370,Mike Leigh,Jamie Bell
5371,Scott Smith,Cary Elwes
5372,Antoine Fuqua,Jamie Foxx
5373,David Gordon Green,Nicole Kidman
5374,James Wan,Craig T. Nelson
5375,Taylor Hackford,Fanny Ardant
5376,Jonathan Glazer,Tom Hanks
5377,Brad Bird,Liam Neeson
5378,Franco Zeffirelli,Jennifer Tilly
5379,Robert Zemeckis,Pierce Brosnan
5380,Bill Condon,Renée Zellweger
5381,Don Mancini,Johnny Depp
5382,Brett Ratner,Nicolas Cage
5383,Beeban Kidron,Gael García Bernal
5384,Marc Forster,Tom Kenny
5385,Jon Turteltaub,Colin Farrell
5386,Pedro Almodóvar,Tim Allen
5387,Stephen HillenburgMark Osborne(live-action sequences),Russ Little
5388,Oliver Stone,Natalie Portman
5389,Joe Roth,Ben Tibber
5390,Robert Stone,Ziyi Zhang
5391,Mike Nichols,George Clooney
5392,Paul Feig,Wesley Snipes
5393,Yimou Zhang,Cathy Bonner
5394,Steven Soderbergh,Tab Hunter
5395,David S. Goyer,Fred Astaire
5396,Joseph MealeyMichael Shoob,Mary Beth Hurt
5397,George AbbottStanley Donen,D.B. Sweeney
5398,Jack Haley Jr.,Cedric Hardwicke
5399,Simon Wincer,Guillaume Canet
5400,Robert Lieberman,Samir Khader
5401,Joe May,Lon Chaney
5402,Yann Samuell,Buster Keaton
5403,Jehane Noujaim,Harold Lloyd
5404,Wallace Worsley,Gibson Gowland
5405,Buster Keaton,Al Jolson
5406,Fred C. NewmeyerSam Taylor,Buster Keaton
5407,Erich von Stroheim(personally directed by),Pierre Batcheff
5408,Alan Crosland,Edward G. Robinson
5409,Charles ReisnerBuster Keaton(uncredited),Michel Simon
5410,Luis Buñuel,Paul Muni
5411,Mervyn LeRoy,Marie Dressler
5412,Jean Renoir,Warren William
5413,Howard HawksRichard Rosson,Dita Parlo
5414,George Cukor,Sylvia Sidney
5415,Mervyn LeRoy,Jean Harlow
5416,Jean Vigo,Gary Cooper
5417,Fritz Lang,Greta Garbo
5418,Jack Conway,Spencer Tracy
5419,Frank Capra,Katharine Hepburn
5420,George Cukor,Katharine Hepburn
5421,Victor Fleming,James Cagney
5422,Gregory La Cava,Merle Oberon
5423,George Cukor,Bette Davis
5424,Raoul Walsh,Robert Montgomery
5425,William Wyler,Ronald Colman
5426,William Wyler,Charles Boyer
5427,Alexander Hall,Thorkild Roose
5428,Mervyn LeRoy,Eddie Bracken
5429,Julien Duvivier,Bette Davis
5430,Carl Theodor Dreyer,John Mills
5431,Preston Sturges,Orson Welles
5432,Vincent Sherman,Judy Garland
5433,David Lean,Rita Hayworth
5434,Orson Welles,Lana Turner
5435,Charles Walters,Rex Harrison
5436,Orson Welles(uncredited),Jeanne Crain
5437,George Sidney,Betty Hutton
5438,Preston Sturges,Deborah Kerr
5439,Joseph L. Mankiewicz,Alfonso Mejía
5440,George SidneyBusby Berkeley(almost all footage scrapped and reshot),Judy Garland
5441,Compton BennettAndrew Marton,Marlon Brando
5442,Luis Buñuel,Orson Welles
5443,George Cukor,Michel Bouquet
5444,Laslo Benedek,Clark Gable
5445,Orson Welles,Tatsuya Nakadai
5446,Alain Resnais,Martin LaSalle
5447,George Seaton,Hideko Takamine
5448,Masaki Kobayashi,Tatsuya Nakadai
5449,Robert Bresson,Franchot Tone
5450,Mikio Naruse,Tatsuya Nakadai
5451,Masaki Kobayashi,Robert Preston
5452,Otto Preminger,Marlon Brando
5453,Masaki Kobayashi,Patrice Moullet
5454,Morton DaCosta,Bette Davis
5455,Lewis MilestoneCarol Reed(some scenes),Nobuko Otowa
5456,Jean-Luc Godard,Paul Mantee
5457,Robert Aldrich,Brahim Hadjadj
5458,Kaneto Shindô,Ann Altieri
5459,Byron Haskin,Charlton Heston
5460,Gillo Pontecorvo,Jason Robards
5461,Bill Melendez,Anatoliy Solonitsyn
5462,Sam Peckinpah,Anne Wiazemsky
5463,Fred Coe,Adam West
5464,Andrei Tarkovsky,Václav Neckár
5465,Robert Bresson,Tetsuya Watari
5466,Leslie H. Martinson,Jô Shishido
5467,Jirí Menzel,Jacques Tati
5468,Seijun Suzuki,Lee Marvin
5469,Seijun Suzuki,N/A
5470,Jacques Tati,Roger Carel
5471,John Boorman,Yuriy Nikulin
5472,Frederick Wiseman,Sean Lynch
5473,N/A,Lucille Ball
5474,René GoscinnyAlbert Uderzo,Jean-Claude Brialy
5475,Leonid Gaidai,James Fox
5476,Jean-Luc Godard,Anatoliy Kuznetsov
5477,Melville Shavelson,Mark Frechette
5478,Éric Rohmer,Dennis Weaver
5479,Donald CammellNicolas Roeg,Terence Hill
5480,Vladimir Motyl,Alejandro Jodorowsky
5481,Michelangelo Antonioni,Vincent Price
5482,Steven Spielberg,Walter Matthau
5483,Enzo Barboni,Dan O'Bannon
5484,Alejandro Jodorowsky,Margot Kidder
5485,Robert Fuest,Monique van de Ven
5486,Don Siegel,George Segal
5487,John Carpenter,Sylvia Kristel
5488,Brian De Palma,H.B. Halicki
5489,Paul Verhoeven,Alejandro Jodorowsky
5490,Robert Altman,Roger Carel
5491,Just Jaeckin,Gene Hackman
5492,H.B. Halicki,Barbara Brylska
5493,Alejandro Jodorowsky,Jack Nicholson
5494,René GoscinnyHenri GruelAlbert Uderzo,Karen Black
5495,John Frankenheimer,Robert De Niro
5496,Barbara BrylskaEldar RyazanovAndrey Myagkov,Peter Fonda
5497,Michelangelo Antonioni,John L. Lewis
5498,Dan Curtis,Gene Wilder
5499,Bernardo Bertolucci,Mel Brooks
5500,Richard T. Heffron,Liza Minnelli
5501,Barbara Kopple,Anne Bancroft
5502,Arthur Hiller,Sheng Chiang
5503,Mel Brooks,Pai Wei
5504,Martin Scorsese,Peter Graves
5505,Herbert Ross,Jackie Chan
5506,Cheh Chang,John Savage
5507,John Woo,George Hamilton
5508,Robert S. Fiveson,Simon Jones
5509,Woo-Ping Yuen,Alec Guinness
5510,Milos Forman,Roy Scheider
5511,Stan Dragoti,Jason Robards
5512,Simon JonesDavid DixonPeter Jones,Eddie Murphy
5513,Alec GuinnessEileen AtkinsBill Paterson,Zaide Silvia Gutiérrez
5514,John Badham,Dan Aykroyd
5515,Nicholas Meyer,Denis Lavant
5516,Bruce Gowers,Henry Thomas
5517,Gregory Nava,Eric Walker
5518,"Joe Dante(segment It's a Good Life)John Landis(prologue/segment ""Time Out"")George Miller(segment Nightmare at 20,000 Feet)",Lilyan Chauvin
5519,Leos Carax,Harvey Fierstein
5520,Richard Franklin,Carmen Maura
5521,John Korty,Megan Follows
5522,Charles E. Sellier Jr.,Dustin Hoffman
5523,Rob Epstein,Wilford Brimley
5524,Pedro Almodóvar,Jackie Chan
5525,Megan FollowsColleen DewhurstRichard Farnsworth,Bruno Lawrence
5526,Volker Schlöndorff,Chevy Chase
5527,Jim WheatKen Wheat,Mikhail Baryshnikov
5528,Jackie ChanChi-Hwa Chen(executive director),Dexter Gordon
5529,Geoff Murphy,Robin Williams
5530,John Landis,Erland Josephson
5531,Taylor Hackford,Lung Ti
5532,Bertrand Tavernier,Artur Barcis
5533,Harold Ramis,Charlie Adler
5534,Andrei Tarkovsky,Julius LeFlore
5535,John Woo,Eusebio Poncela
5536,Artur BarcisOlgierd LukaszewiczAleksander Bardini,Donald Pleasence
5537,Don Jurwich,Leslie Cheung
5538,Donald G. JacksonR.J. Kizer,Leslie Cheung
5539,Pedro Almodóvar,Richard Chamberlain
5540,John Carpenter,Tom Hulce
5541,Siu-Tung Ching,Grant Cramer
5542,John Woo,Michael Jackson
5543,Richard ChamberlainJaclyn SmithAnthony Quayle,Jan Svankmajer
5544,Robert M. Young,Benoît Magimel
5545,Stephen Chiodo,Robert Duvall
5546,Jerry KramerColin Chilvers(segment Smooth Criminal),Kirsten Dunst
5547,Jan Svankmajer,Paul Hogan
5548,Étienne Chatiliez,Johnny Depp
5549,Robert DuvallTommy Lee JonesDanny Glover,Tony Chiu-Wai Leung
5550,Hayao Miyazaki,Bill Cosby
5551,John Cornell,Richard Thomas
5552,John Waters,Gong Li
5553,John Woo,Gary Kemp
5554,Sidney Poitier,Jean-Claude Van Damme
5555,Richard ThomasTim ReidAnnette O'Toole,Eric Idle
5556,Yimou ZhangFengliang Yang,Toshio Furukawa
5557,Peter Medak,Sean Penn
5558,Sheldon Lettich,Bruce Balden
5559,Jonathan Lynn,Leslie Cheung
5560,Mamoru Oshii,Brian Salzberg
5561,Phil Joanou,Ed O'Neill
5562,Michael Apted,Dennis Hopper
5563,Kar-Wai Wong,Roberto Benigni
5564,E. Elias Merhige,Siu-Wong Fan
5565,Peter Faiman,Kristy Swanson
5566,Fax BahrGeorge HickenlooperEleanor Coppola(documentary footage),Miki Imai
5567,Roberto Benigni,Danny DeVito
5568,Ngai Choi Lam,Tom Selleck
5569,Stewart Raffill,Helen Mirren
5570,Isao Takahata,Matt Salinger
5571,Norman Jewison,Jackie Chan
5572,Simon Wincer,Shûichirô Moriyama
5573,Helen MirrenColin SalmonJohn Benfield,Enrico Lo Verso
5574,Albert Pyun,Rodney Dangerfield
5575,Jing Wong,Armand Assante
5576,Hayao Miyazaki,Michael Douglas
5577,Gianni Amelio,Chuck Norris
5578,Sidney J. Furie,Daniel Auteuil
5579,Arne Glimcher,Conrad L. Hall
5580,David Seltzer,Nicholas Hope
5581,Aaron Norris,James Garner
5582,Claude Sautet,Christopher Lambert
5583,Arnold GlassmanTodd McCarthyStuart Samuels,Hulk Hogan
5584,Rolf de Heer,Colm Meaney
5585,Glenn Jordan,Takeshi Kitano
5586,Stuart Gordon,Gary Sinise
5587,Michael Gottlieb,Larry Drake
5588,Stephen Frears,Brooke Shields
5589,Takeshi Kitano,Jet Li
5590,Gary SiniseMolly RingwaldJamey Sheridan,Charlie Sheen
5591,Bradford May,Gérard Depardieu
5592,Tom SternAlex Winter,Gérard Depardieu
5593,Gordon Chan,Patricia Wettig
5594,David S. Ward,Martti Suosalo
5595,Steve Miner,Tom Berenger
5596,Giuseppe Tornatore,Yoko Honna
5597,Patricia WettigDean StockwellTom Holland,Kôjiro Shimizu
5598,Markku Pölönen,Melvil Poupaud
5599,Tab Murphy,John Michael Higgins
5600,Yoshifumi Kondô,Kim Bodnia
5601,Gisaburô Sugii,Kate Beckinsale
5602,Éric Rohmer,Daniel Day-Lewis
5603,Betty Thomas,Nick Sutton
5604,Nicolas Winding Refn,Christopher Lambert
5605,Diarmuid Lawrence,Matthew Broderick
5606,Jim Sheridan,Tom Hanks
5607,Harmony Korine,Christopher Lambert
5608,Gabriele Salvatores,Liev Schreiber
5609,Darrell RooneyRob LaDuca,Robert Patrick
5610,Tom HanksNick SearcyLane Smith,Angelina Jolie
5611,Graham Baker,Thomas Jane
5612,Benjamin Ross,Jackie Chan
5613,Scott Spiegel,Sam Neill
5614,Michael Cristofer,Peter Gallagher
5615,Skip Woods,Daryl Hannah
5616,Benny ChanJackie Chan,Sam Shepard
5617,Sam NeillHelena Bonham CarterJohn Gielgud,Kim Bodnia
5618,Leslie LibmanLarry Williams,Gérard Depardieu
5619,Dave Payne,Donna D'Errico
5620,Uli Edel,Tim Daly
5621,Nicolas Winding Refn,Megumi Ogata
5622,Pitof,Demon
5623,Turi Meyer,Moritz Bleibtreu
5624,Toshihiko Masuda,Doudou Gueye Thiaw
5625,Hideaki Anno(senior director)Kazuya Tsurumaki(segment Air),Samy Naceri
5626,Tony Silver,Vanessa Redgrave
5627,Fatih Akin,Kimberly Williams-Paisley
5628,Michel OcelotRaymond Burlet(in collaboration with),Behzad Dorani
5629,Gérard Krawczyk,Tony Chiu-Wai Leung
5630,Jane Anderson(segment 1961)Martha Coolidge(segment 1972)Anne Heche(segment 2000),David Paymer
5631,Kimberly Williams-PaisleyScott CohenDianne Wiest,Will Friedle
5632,Abbas Kiarostami,Ryo Ishibashi
5633,Kar-Wai Wong,Tom Fisher
